index,类别,子类,实体名称,问题,参考答案,Evidence
0,Issue驱动,Bug排查,Issue #14280,我遇到了这个问题：Inconsistent Embedding Similarity between llama-server and LlamaCppEmbeddings fo。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用同一份 BGE-M3_FP16.gguf 模型时，发现通过 llama-server 的 /v1/embeddings 接口生成的向量与通过 LlamaCppEmbeddings（Python 绑定）生成的向量在相似度计算上存在明显差异，且 llama-server 端的相似度明显偏低，表明两者生成的嵌入向量不一致。

2. **可能原因**  
llama.cpp 的推理流程中，embedding 生成依赖于模型加载、tokenization、前向计算及后处理等环节。造成差异的可能原因包括：  
- 模型加载参数或量化配置不一致（如是否启用 fp16、int8 等）  
- tokenizer 版本或参数不统一，导致输入文本分词结果不同  
- llama-server 与 Python 绑定的默认推理参数（如上下文窗口、batch size、embedding 层选取）存在差异  
- llama-server 端的后处理逻辑（如归一化、截断）与 Python 绑定不一致  
- 多线程或 GPU 设备调用时的同步问题导致结果不稳定

3. **排查思路**  
- 确认两端使用完全相同的模型文件和加载参数  
- 对比 tokenizer 输出的 token 序列是否一致  
- 逐步打印和比对中间向量（如 embedding 层输出）  
- 检查 llama-server 配置文件及启动参数，确保与 Python 绑定一致  
- 在单线程 CPU 环境下复现，排除并发和硬件差异  
- 查看 llama-server 日志是否有异常或警告信息

4. **已知结论**  
该 Issue 尚未给出最终修复方案，但社区推测主要是 llama-server 与 Python 绑定在推理参数和后处理上的差异导致。建议临时使用 Python 绑定作为参考标准，等待后续版本统一接口行为和参数配置，或自行对比并调整 llama-server 配置以匹配 Python 端表现。",Issue #14280
1,Issue驱动,Bug排查,Issue #18351,我遇到了这个问题：No full utilization of GPU during usage of Qwen3-Next on rocm / cuda。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用 Qwen3-Next-80B-A3B-Instruct-GGUF 模型时，发现 GPU 利用率仅达到 60%-70%，而 CPU 却接近满负荷（约 102%），导致整体推理性能未达到预期，TPS 约为 24，且上下文长度较大（约 25k token）。

2. **可能原因**  
llama.cpp 在 GPU 后端（ROCm/CUDA）执行时，理论上应充分利用 GPU 并行计算能力。出现 GPU 利用率不足，CPU 却高负载，通常表明存在以下可能：  
- 数据传输瓶颈：CPU 与 GPU 之间频繁同步或数据拷贝，导致 GPU 等待；  
- 计算任务分配不均：部分计算仍在 CPU 端执行，未充分 offload 到 GPU；  
- GPU 资源调度不合理：如 kernel 启动频繁、内存访问不连续，影响吞吐；  
- 模型或上下文大小导致内存碎片或调度效率降低；  
- ROCm/CUDA 驱动或 llama.cpp 后端实现对 Qwen3-Next 特殊结构支持不完善。

3. **排查思路**  
- 使用 GPU 性能分析工具（如 ROCm Profiler、NVIDIA Nsight）观察 kernel 执行时间、内存带宽和同步等待；  
- 检查 llama.cpp 日志，确认计算是否均已 offload 到 GPU，排查 CPU 端是否有瓶颈任务；  
- 逐步缩小上下文长度，观察 GPU 利用率变化，判断是否因上下文过大导致调度效率下降；  
- 对比不同后端（纯 CUDA、ROCm）及不同模型，确认是否为 Qwen3-Next 模型特有问题；  
- 关注 llama.cpp 版本及后端实现更新，排查是否存在已知性能问题。

4. **已知结论**  
目前该 Issue 尚无明确修复方案，开发者建议重点排查数据传输与任务调度瓶颈，后续可能通过优化 GPU kernel 调度和减少 CPU-GPU 交互提升利用率。用户可关注后续 llama.cpp 更新，或尝试调整上下文大小和模型参数以缓解问题。",Issue #18351
2,Issue驱动,性能问题,Issue #3422,llama.cpp 推理时遇到性能问题：[User] AMD GPU slower than CPU。有什么优化建议？,"针对“AMD GPU推理性能不及CPU”的问题，分析如下：

1. **性能瓶颈**  
当前 llama.cpp 在 AMD GPU 上的性能受限于 HIP 后端的计算调度和内存带宽利用效率。相比 CPU，GPU 端的内核启动开销、数据传输延迟以及 HIPBLAS 库对模型矩阵乘法的优化尚未达到最佳状态，导致实际推理速度不升反降。

2. **影响范围**  
该问题主要影响使用 AMD GPU（如 Radeon 7900XTX）且依赖 HIP 后端进行推理的用户，尤其是在运行中等及以上规模模型时更为明显。CPU（如 Intel 13900K）由于架构成熟且 llama.cpp 对 x86 SIMD 指令集有深度优化，表现反而更优。

3. **优化方向**  
- 优先使用 CPU 版本，特别是在当前 HIPBLAS 性能未充分提升前。  
- 关注 HIPBLAS 和 ROCm 版本更新，等待底层库性能改进。  
- 结合异构计算，尝试将部分计算任务放回 CPU。  
- 未来可探索针对 AMD GPU 的专用内核优化和内存访问模式调整。  
- 调整 batch size、线程数等参数，尝试缓解内存带宽瓶颈。

4. **参考信息**  
用户在 Issue 中使用了 13900K CPU 与 7900XTX 24G GPU，构建时基于 hipBLAS，结果显示 GPU 推理速度未超过 CPU，表明当前 HIP 后端在实际应用中尚未达到预期性能优势。

总结：目前 AMD GPU 在 llama.cpp 中的推理性能受限于软件栈和硬件适配，建议暂时以 CPU 为主，关注后续 ROCm 和 HIPBLAS 的优化更新。",Issue #3422
3,Issue驱动,Bug修复链路,Issue #19420,我在使用 llama.cpp 时遇到了类似的问题：Qwen3-Coder-30B-A3B-Instruct crash in vulkan Intel ARL。可能是什么原因导致的？应该怎么排查？,"1. **问题症状**  
用户在 Intel Arrow Lake (140T GPU) 平台上，使用 llama.cpp 的 Vulkan 后端加载 Qwen3-Coder-30B-A3B-Instruct 模型时，程序发生崩溃。该问题仅在 Vulkan 版本出现，CPU 后端正常运行，表明与 Vulkan 相关的图形驱动或内存管理存在异常。

2. **根本原因**  
该崩溃主要源于 Vulkan 后端对 Intel ARL GPU 特性的兼容性不足，尤其是在内存分配和缓冲区管理方面。Qwen3-Coder-30B-A3B-Instruct 模型体积大，量化格式（Q4_K_M）对内存访问模式要求较高，导致 Vulkan 驱动在处理大规模 GPU 资源时出现非法访问或同步问题。此外，Intel Vulkan 驱动在某些内存布局和同步机制上与通用实现存在差异，触发了崩溃。

3. **修复思路**  
排查应聚焦于 Vulkan 后端的内存分配策略和同步机制，尤其是针对 Intel ARL GPU 的特殊处理。建议通过开启 `GGML_VK_MEMORY_LOGGER=1` 等调试日志，定位具体崩溃点。重点检查缓冲区创建、映射、释放流程，确保符合 Intel Vulkan 驱动的规范。还需验证量化模型在 Vulkan 端的 tensor 访问是否越界或未正确同步。

4. **修复方案**  
已有 PR 针对该问题进行了修复，主要通过调整 Vulkan 内存分配逻辑，增加对 Intel ARL GPU 特性的兼容性支持，优化缓冲区同步和访问顺序，避免非法内存访问。同时，修复了模型加载时的内存布局错误，确保量化格式在 Vulkan 端正确解析和使用。该修复显著提升了 Vulkan 后端在 Intel ARL 平台的稳定性，避免了崩溃。建议用户更新至包含该 PR 的最新版本。","Issue #19420, PR #20059"
4,Issue驱动,Bug排查,Issue #16799,我遇到了这个问题：ROCm illegal memory access with `-sm row`。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用 ROCm 平台运行 llama.cpp 时，开启 `-sm row`（即按行分块计算）参数会导致非法内存访问（illegal memory access）错误，程序在模型预热阶段崩溃。而切换到 `-sm layer` 模式或仅使用 AMD GPU（gfx906）单独运行时，该问题不复现。

2. **可能原因**  
`-sm row` 模式下，llama.cpp 采用按行分割的方式将计算任务拆分到 GPU，涉及更复杂的内存访问和同步机制。ROCm 对于 gfx906 设备的内存管理和线程调度与 NVIDIA CUDA 不同，且用户使用的 ROCm 7.0.1 版本与模型所用的 Tensile 库（6.4.3）版本不匹配，可能导致底层内存访问越界或同步异常。此外，混合多 GPU（NVIDIA + AMD）环境下，跨设备内存协调复杂，容易触发此类错误。

3. **排查思路**  
- 确认 ROCm 和 Tensile 库版本匹配，建议统一升级或降级至兼容版本。  
- 单独在 AMD GPU 上测试，排除多 GPU 交互问题。  
- 通过开启 ROCm 的调试日志和内存访问检测工具，定位具体崩溃点。  
- 对比 `-sm row` 和 `-sm layer` 模式下的内存分配和访问逻辑，检查是否存在越界或未同步的缓冲区。  
- 简化模型规模和输入，缩小问题范围。

4. **已知结论**  
该 Issue 暂无官方修复，社区反馈表明问题与 ROCm 版本和 Tensile 库不匹配密切相关。建议用户使用 `-sm layer` 模式作为临时规避方案，等待后续 ROCm 或 llama.cpp 对 ROCm 支持的改进。未来版本可能会针对 ROCm 的异构计算和内存管理做更完善的适配。",Issue #16799
5,Issue驱动,性能问题,Issue #1129,llama.cpp 推理时遇到性能问题：Performance issues with cuBLAS and a bug。有什么优化建议？,"针对 Issue #1129 中反馈的 cuBLAS 性能问题，分析如下：

1. **性能瓶颈**  
核心瓶颈在于 cuBLAS 调用的开销和数据准备不充分。虽然单次大规模矩阵乘法在理论上能显著加速，但 llama.cpp 中频繁的小批量矩阵乘法导致大量调用开销累积，且内存传输与布局未做充分优化，导致 GPU 计算资源未被充分利用，反而拖慢整体推理速度。

2. **影响范围**  
该问题主要影响使用 NVIDIA GPU 并启用 cuBLAS 支持的推理场景，尤其是模型规模中等（如 llama-7B）且推理批次较小的情况下更为明显。CPU 推理或未启用 cuBLAS 的场景不受影响。

3. **优化方向**  
- 预先准备和连续分配内存，减少内存拷贝和重分配开销。  
- 批量合并多次小矩阵乘法，减少 cuBLAS API 调用次数，提高调用效率。  
- 采用异步计算与数据传输，充分利用 CUDA 流和并行计算能力。  
- 针对 llama.cpp 的具体计算流程，重构矩阵乘法调用逻辑，避免循环中频繁调用 cuBLAS。  
- 目前可通过关闭 cuBLAS 或仅在大规模矩阵乘法时启用，避免整体性能下降。

4. **参考信息**  
Issue 中提到单次 1千万元素的 F32 矩阵乘法用 cuBLAS 从1秒降至20毫秒，说明单次调用性能极佳；但在 llama 推理循环中，启用 cuBLAS 反而使平均计算时间从300ms升至1500ms，表明调用开销和内存管理是主要瓶颈。

综上，cuBLAS 在 llama.cpp 中的性能提升潜力巨大，但需针对调用粒度和内存管理做专项优化，当前建议谨慎启用并关注后续版本优化进展。",Issue #1129
6,Issue驱动,Bug排查,Issue #13765,我遇到了这个问题：vulkan prompt processing suddenly slows down once I reach a certain prompt size。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户反馈在使用 llama.cpp Vulkan 后端时，prompt 处理速度在达到一定长度（如385或202 tokens）后突然显著变慢，但文本生成阶段速度正常。该问题仅影响 prompt 预处理阶段，且在不同 GPU（FirePro W8100、RX 470）和驱动（RADV）环境下均出现。

2. **可能原因**  
llama.cpp 在 Vulkan 后端中，prompt 处理涉及多次 GPU 计算调度和内存管理。随着 prompt 长度增加，输入数据和中间状态会占用更多显存和计算资源，可能触发了某些资源瓶颈或同步机制。尤其是 Vulkan 的命令缓冲区管理、内存分配碎片或队列提交策略，可能导致性能突然下降。此外，量化格式（Q4_K_M、Q4_K_S）和全层 offload 也可能影响内存访问模式和缓存效率。

3. **排查思路**  
- 监控 GPU 资源使用情况（显存、计算单元利用率）及 Vulkan 命令队列状态，确认是否存在资源饱和或阻塞。  
- 逐步缩减 prompt 长度，定位触发性能下降的临界点。  
- 对比不同量化格式和 offload 配置，排查是否与特定配置相关。  
- 使用 Vulkan 性能分析工具（如 RADV 的调试层）检查命令缓冲区提交和同步开销。  
- 在 CPU 后端或其他 GPU 驱动环境下复现，排除硬件或驱动特异性问题。

4. **已知结论**  
该 Issue 目前仍在调查阶段，尚无明确修复方案。开发者建议持续关注后续更新，社区反馈和驱动层改进可能带来解决。同时，临时可通过控制 prompt 长度或调整 offload 策略缓解性能下降。",Issue #13765
7,Issue驱动,性能问题,Issue #17783,llama.cpp 推理时遇到性能问题：Slow inference with panvk。有什么优化建议？,"针对在 RK3588 平台使用 panvk（Panfrost Vulkan 驱动）导致 llama.cpp 推理速度显著下降的问题，分析如下：

1. **性能瓶颈**  
核心原因在于 panvk 驱动的 Vulkan 实现尚处于早期阶段，驱动对 GPU 资源调度和命令提交效率较低，导致推理过程中 Vulkan 计算任务的吞吐率远低于 CPU 直接计算。此外，RK3588 的 GPU 架构和驱动对 Vulkan 的支持不完善，影响了并行度和内存访问效率。

2. **影响范围**  
主要影响基于 RK3588 及类似 ARM 平台，使用 panvk Vulkan 驱动进行推理的场景。尤其是在使用小模型或短文本推理时，token 生成速度明显低于 CPU 模式。其他 Vulkan 驱动成熟的设备（如桌面 GPU）受影响较小。

3. **优化方向**  
- 暂时建议关闭 Vulkan，使用 CPU 模式（`--device none`）以获得更稳定的推理速度。  
- 通过调整并行线程数（`n_parallel`）和 KV 缓存统一配置（`kv_unified`）尝试缓解性能瓶颈，但效果有限。  
- 关注 panvk 驱动及 Linux 内核的更新，未来驱动成熟后 Vulkan 性能有望提升。  
- 对于 RK3588 等平台，考虑使用专门优化的 GPU 推理库或框架替代 Vulkan。

4. **参考信息**  
在 Orange Pi 5 Plus（RK3588）上，开启 Vulkan 推理时速度约为 3.6 tokens/sec，而关闭 Vulkan 使用 CPU 模式时速度提升至约 13.2 tokens/sec，差距明显。该设备运行 Artix Linux 6.18.0，编译环境为 GCC 15.2.1，模型配置启用了 4 线程并统一 KV 缓存。

综上，当前 panvk Vulkan 驱动的性能限制是主要瓶颈，建议暂时回退至 CPU 模式，并持续关注驱动生态的改进。",Issue #17783
8,Issue驱动,Bug修复链路,Issue #19955,我在使用 llama.cpp 时遇到了类似的问题：Vulkan llama-server crashes with vk::DeviceLostError randomly (long contexts)。可能是什么原因导致的？应该怎么排查？,"1. **问题症状**  
用户在使用 Vulkan 后端的 llama-server 进行长上下文推理时，程序会随机崩溃，报错为 `vk::DeviceLostError`。崩溃通常发生在处理数万 token 后，且伴随系统短暂冻结，导致推理无法继续。

2. **根本原因**  
该错误通常是 Vulkan 设备（GPU）在长时间高负载运行时发生了设备丢失（Device Lost），可能由显存泄漏、资源管理不当或驱动/硬件异常引起。具体到 llama.cpp，推测是在长上下文推理过程中，GPU 资源（如缓冲区、命令缓冲、同步对象）未被正确释放或重用，导致 Vulkan 驱动崩溃。

3. **修复思路**  
排查应重点关注 Vulkan 资源的生命周期管理，确认是否存在未释放或重复使用的资源。建议：  
- 检查命令缓冲区和同步机制是否正确重置和提交。  
- 监控显存使用情况，排查内存泄漏。  
- 复现问题时开启 Vulkan 验证层，捕获更详细的错误信息。  
- 对比不同模型和设备的表现，排除硬件兼容性问题。

4. **修复方案**  
已有 PR 通过改进 Vulkan 资源管理实现修复，主要包括：  
- 优化命令缓冲区的重用逻辑，确保每次推理循环正确重置。  
- 增强同步机制，防止命令提交冲突。  
- 修复部分显存释放遗漏，避免累积内存压力。  
这些改动显著降低了 `vk::DeviceLostError` 的发生频率，提升了长上下文推理的稳定性。建议尽快合并并更新至最新版本。","Issue #19955, PR #20296"
9,Issue驱动,Bug排查,Issue #17012,我遇到了这个问题：Qwen3-VL-8B freezes on image processing tasks。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
Qwen3-VL-8B 模型在处理图像任务时出现程序冻结，尤其是在上传图像到 Web UI 或 Open-WebUI 后，程序无响应甚至导致 Windows 系统卡死。文本生成部分正常，无明显异常。

2. **可能原因**  
Qwen3-VL-8B 是多模态模型，涉及图像特征处理和推理。冻结现象多半与图像输入的预处理、模型加载或 Vulkan GPU 计算管线相关。结合 llama.cpp 架构，可能是：  
- Vulkan 后端在处理图像相关计算时出现死锁或资源竞争。  
- 图像输入的预处理或特征转换流程存在内存访问异常或阻塞。  
- 模型的量化文件（gguf）与 mmproj 配置不匹配，导致运行时状态异常。  
- 版本升级引入了不兼容的改动，导致图像处理路径代码异常。

3. **排查思路**  
- 回退到已知正常版本（如 b6910）确认是否版本引入问题。  
- 通过开启详细日志或调试模式，定位冻结发生的具体函数调用或线程状态。  
- 检查 Vulkan 驱动和硬件兼容性，尝试切换 CPU 模式或禁用 Vulkan 测试是否仍冻结。  
- 验证图像输入格式和预处理代码，确保符合模型预期。  
- 对比 gguf 和 mmproj 文件版本，确认参数一致性。  
- 使用最小复现用例逐步排除，确认是否为特定图像或操作触发。

4. **已知结论**  
目前 Issue 中尚无官方明确修复方案，冻结问题与近期 Vulkan 后端更新相关。建议使用稳定版本回退，同时关注后续版本更新和社区反馈。开发团队正在跟进 Vulkan 相关的稳定性改进。用户可临时切换到 CPU 模式或降低上下文大小尝试规避。",Issue #17012
